;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 150 М (SM1-SM3);1164861711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 150 М (SM1-SM4);1164101711Н;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 150 М (SM4);1164871711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 150 М - БАССЕЙН 25 М (SM1-SM4);1164111711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM5);1164881711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM6);1164891711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM7);1164131711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM5-SM7);1164141711Н;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM8);1164151711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM8-SM9);1164161711Н;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM9);1164171711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (SM10);1164181711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - ТОЛКАНИЕ ЯДРА (F32);1165361711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М - БАССЕЙН 25 М (S6);1164401711Ю;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М - БАССЕЙН 25 М (S6-S8);1164411711К;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М - БАССЕЙН 25 М (S7-S8);1164421711Ю;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М - БАССЕЙН 25 М (S9-S10);1164431711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - ВОЛЬНЫЙ СТИЛЬ (СУММА 20);1164441711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - ВОЛЬНЫЙ СТИЛЬ - БАССЕЙН 25 М (СУММА 20);1164451711М;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - ВОЛЬНЫЙ СТИЛЬ - СМЕШАННАЯ (СУММА 20);1164461711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - КОМБИНИРОВАННАЯ (СУММА 20);1164471711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - КОМБИНИРОВАННАЯ - БАССЕЙН 25 М (СУММА 20);1164481711М;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М - ВОЛЬНЫЙ СТИЛЬ (СУММА 34);1164491711Я;;;;;;;;;;;;;
;;;ПУЛЕВАЯ СТРЕЛЬБА - В6 - ВИНТОВКА МАЛОКАЛИБЕРНАЯ ПРОИЗВОЛЬНАЯ, 50 М - 60 ВЫСТРЕЛОВ, ЛЕЖА;1160421711Я;;;;;;;;;;;;;
;;;ПУЛЕВАЯ СТРЕЛЬБА - В7 - МАЛОКАЛИБЕРНАЯ ВИНТОВКА ПРОИЗВОЛЬНАЯ, 50 М - 120 ВЫСТРЕЛОВ, ТРИ ПОЛОЖЕНИЯ;1160431711А;;;;;;;;;;;;;
;;;ПУЛЕВАЯ СТРЕЛЬБА - В8 - ВИНТОВКА МАЛОКАЛИБЕРНАЯ СТАНДАРТНАЯ, 50 М - 120 ВЫСТРЕЛОВ, ТРИ ПОЛОЖЕНИЯ;1160441711Б;;;;;;;;;;;;;
;;;ПУЛЕВАЯ СТРЕЛЬБА - В9 - ВИНТОВКА МАЛОКАЛИБЕРНАЯ ПРОИЗВОЛЬНАЯ, 50 М - 60 ВЫСТРЕЛОВ, ЛЕЖА С ПОДСТАВКИ;1160451711Я;;;;;;;;;;;;;
;;;РЕГБИ НА КОЛЯСКАХ;1162602711Л;;;;;;;;;;;;;
;;;СНОУБОРД - КРОСС (SB-LL1, SB-LL2, SB-UL);1162653711Л;;;;;;;;;;;;;
;;;СНОУБОРД - КРОСС - СЛАЛОМ (SB-LL1, SB-LL2, SB-UL);1162093711Л;;;;;;;;;;;;;
;;;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ - СПРИНТ (O1- O3);1161871711Л;;;;;;;;;;;;;
;;;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ - СПРИНТ (O4-O6);1162621711Л;;;;;;;;;;;;;
;;;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ - ТОЧНОЕ ОРИЕНТИРОВАНИЕ (O1-O3);1161881711Л;;;;;;;;;;;;;
;;;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ - ТОЧНОЕ ОРИЕНТИРОВАНИЕ (O4-O6);1162631711Л;;;;;;;;;;;;;
;;;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (O1-O6);1162641711Л;;;;;;;;;;;;;
;;;СТЕНДОВАЯ СТРЕЛЬБА - ТРАП (SG-S, SG-L, SG-U);1163091711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ (O);1160181711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - 70 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ (O);1160191711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 18 М) (O);1160201711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ (КВАЛИФИКАЦИЯ + ФИНАЛ 18 М) (O);1160211711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 70 М) (O);1160221711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ (КВАЛИФИКАЦИЯ + ФИНАЛ 70 М) (O);1160231711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - БЛ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ (O);1160241711Л;;;;;;;;;;;;;
;;;СТРЕЛЬБА ИЗ ЛУКА - БЛ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ (W1);1160251711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - КОМБИ - ЕВРОПЕЙСКАЯ ПРОГРАММА (1 КЛАСС);1161941711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - КОМБИ - ЕВРОПЕЙСКАЯ ПРОГРАММА (2 КЛАСС);1161951711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - ОБЩАЯ ПРОГРАММА (1 КЛАСС);1164741711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - ОБЩАЯ ПРОГРАММА (2 КЛАСС);1164751711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - ПРОИЗВОЛЬНАЯ ПРОГРАММА (1 КЛАСС);1164761711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - ПРОИЗВОЛЬНАЯ ПРОГРАММА (2 КЛАСС);1164771711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - КОМБИ - ПРОИЗВОЛЬНАЯ ПРОГРАММА (1 КЛАСС);1164781711Л;;;;;;;;;;;;;
;;;ТАНЦЫ НА КОЛЯСКАХ - КОМБИ - ПРОИЗВОЛЬНАЯ ПРОГРАММА (2 КЛАСС);1164791711Л;;;;;;;;;;;;;
;;;ТЕННИС НА КОЛЯСКАХ - ОДИНОЧНЫЙ РАЗРЯД;1160012711Я;;;;;;;;;;;;;
;;;ТЕННИС НА КОЛЯСКАХ - ОДИНОЧНЫЙ РАЗРЯД - СМЕШАННЫЙ (КВАД);1162412711Л;;;;;;;;;;;;;
122;ФУТБОЛ ЛИЦ С ЗАБОЛЕВАНИЕМ ЦП;1200002711А;ФУТБОЛ ЛИЦ С ЗАБОЛЕВАНИЕМ ЦП;1200012711А;;;;;;;;;;;;;
123;КОМПЬЮТЕРНЫЙ СПОРТ;1240002411Л;ФАЙТИНГ;1240062811Л;;;;;;;;;;;;;
;;;ТЕХНИЧЕСКИЙ СИМУЛЯТОР;1240042811Л;;;;;;;;;;;;;
;;;ТАКТИЧЕСКИЙ ТРЕХМЕРНЫЙ БОЙ;1240072811М;;;;;;;;;;;;;
;;;СТРАТЕГИЯ В РЕАЛЬНОМ ВРЕМЕНИ;1240032811Л;;;;;;;;;;;;;
;;;СПОРТИВНЫЙ СИМУЛЯТОР;1240052811Л;;;;;;;;;;;;;
;;;СОРЕВНОВАТЕЛЬНЫЕ ГОЛОВОЛОМКИ;1240022811Л;;;;;;;;;;;;;
;;;БОЕВАЯ АРЕНА;1240012811Л;;;;;;;;;;;;;
124;СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ;0830005511Я;ЛЫЖНАЯ ГОНКА- МНОГОДНЕВНАЯ;0830173811Я;;;;;;;;;;;;;
;;;КРОСС - СПРИНТ;0830011811Я;;;;;;;;;;;;;
;;;КРОСС - КЛАССИКА;0830021811Я;;;;;;;;;;;;;
;;;КРОСС - КЛАССИКА - ОБЩИЙ СТАРТ;0830101811Я;;;;;;;;;;;;;
;;;КРОСС - ЛОНГ;0830031811Я;;;;;;;;;;;;;
;;;КРОСС - МАРАФОН;0830041811Л;;;;;;;;;;;;;
;;;КРОСС - МНОГОДНЕВНЫЙ;0830051811Я;;;;;;;;;;;;;
;;;КРОСС - ЭСТАФЕТА - 2 ЧЕЛОВЕКА;0830061811Я;;;;;;;;;;;;;
;;;КРОСС - ЭСТАФЕТА - 3 ЧЕЛОВЕКА;0830071811Я;;;;;;;;;;;;;
;;;КРОСС - ЭСТАФЕТА - 4 ЧЕЛОВЕКА;0830081811Я;;;;;;;;;;;;;
;;;КРОСС - СПРИНТ - ОБЩИЙ СТАРТ;0830091811Я;;;;;;;;;;;;;
;;;КРОСС - ЛОНГ - ОБЩИЙ СТАРТ;0830111811Я;;;;;;;;;;;;;
;;;КРОСС - ВЫБОР;0830121811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - СПРИНТ;0830133811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - КЛАССИКА;0830143811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - КЛАССИКА - ОБЩИЙ СТАРТ;0830293811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - ЛОНГ;0830153811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА- МАРАФОН;0830163811Л;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - ЭСТАФЕТА - 2 ЧЕЛОВЕКА;0830303811Л;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - ЭСТАФЕТА - 3 ЧЕЛОВЕКА;0830183811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - ЛОНГ - ОБЩИЙ СТАРТ;0830193811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - МАРКИРОВАННАЯ ТРАССА;0830203811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - ЭСТАФЕТА - МАРКИРОВАННАЯ ТРАССА - 3 ЧЕЛОВЕКА;0830213811Я;;;;;;;;;;;;;
;;;ЛЫЖНАЯ ГОНКА - КОМБИНАЦИЯ;0830223811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - СПРИНТ;0830231811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - КЛАССИКА;0830241811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - ЛОНГ;0830251811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - ЭСТАФЕТА - 2 ЧЕЛОВЕКА;0830281811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - ЭСТАФЕТА 3 ЧЕЛОВЕКА;0830261811Я;;;;;;;;;;;;;
;;;ВЕЛОКРОСС - ОБЩИЙ СТАРТ;0830271811Я;;;;;;;;;;;;;
125;ФИДЖИТАЛ СПОРТ (ФУНКЦИОНАЛЬНО-ЦИФРОВОЙ СПОРТ);1910008311Л;ПРЕСЛЕДОВАНИЕ С ПРЕПЯТСТВИЯМИ;1910052811Л;;;;;;;;;;;;;
;;;ДВОЕБОРЬЕ - ЕДИНОБОРСТВО;1910042811М;;;;;;;;;;;;;
;;;ДВОЕБОРЬЕ - АВТОМОДЕЛЬ;1910032811Л;;;;;;;;;;;;;
;;;РИТМ - СИМУЛЯТОР;1910021811Л;;;;;;;;;;;;;
;;;ДВОЕБОРЬЕ - ТАКТИЧЕСКАЯ СТРЕЛЬБА;1910012811Л;;;;;;;;;;;;;
126;БИЛЬЯРДНЫЙ СПОРТ;0620002511Я;СНУКЕР - 15 КРАСНЫХ;0620082811Я;;;;;;;;;;;;;
;;;СНУКЕР - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0620152811Л;;;;;;;;;;;;;
;;;СНУКЕР - 6 КРАСНЫХ;0620142811Я;;;;;;;;;;;;;
;;;СНУКЕР - 1 КРАСНЫЙ;0620132811Я;;;;;;;;;;;;;
;;;ПИРАМИДА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0620122811Я;;;;;;;;;;;;;
;;;СВОБОДНАЯ ПИРАМИДА С ПРОДОЛЖЕНИЕМ;0620162811Я;;;;;;;;;;;;;
;;;СВОБОДНАЯ ПИРАМИДА;0620013112Г;;;;;;;;;;;;;
;;;РУССКАЯ ПИРАМИДА;0620031113Я;;;;;;;;;;;;;
;;;ПУЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0620111113Я;;;;;;;;;;;;;
;;;ПУЛ 14+1;0620061111Я;;;;;;;;;;;;;
;;;ПУЛ 10;0620101112Я;;;;;;;;;;;;;
;;;ПУЛ 9;0620054111Я;;;;;;;;;;;;;
;;;ПУЛ 8;0620042414Я;;;;;;;;;;;;;
;;;КОМБИНИРОВАННАЯ ПИРАМИДА;0620022412Я;;;;;;;;;;;;;
;;;КАРАМБОЛЬ 3 БОРТА;0620072212Я;;;;;;;;;;;;;
;;;ДИНАМИЧНАЯ ПИРАМИДА;0620092212Я;;;;;;;;;;;;;
127;СТРЕЛЬБА НА ДАЛЬНИЕ ДИСТАНЦИИ;1890001411М;ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ, 100-1200 М;1890011811М;;;;;;;;;;;;;
;;;ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ, 100-1200 М - ПАРА;1890021811М;;;;;;;;;;;;;
;;;ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ, 100-1200 М - ГРУППА;1890031811М;;;;;;;;;;;;;
;;;ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ 100-1200 М;1890041811М;;;;;;;;;;;;;
;;;ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ 100-1200 М - ПАРА;1890051811М;;;;;;;;;;;;;
;;;ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ 100-1200 М - ГРУППА;1890061811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - 1000-1600 М;1890071811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - 1000-1600 М - ПАРА;1890081811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - 1000-1600 М - ГРУППА;1890091811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - СВЫШЕ 1600 М;1890101811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - СВЫШЕ 1600 М - ПАРА;1890111811М;;;;;;;;;;;;;
;;;ВИНТОВКА - КОРРЕКТИРОВКА - СВЫШЕ 1600 М - ГРУППА;1890121811М;;;;;;;;;;;;;
;;;МАЛОКАЛИБЕРНАЯ ВИНТОВКА, 100-300 М;1890131811М;;;;;;;;;;;;;
;;;МАЛОКАЛИБЕРНАЯ ВИНТОВКА, 100-300 М - ПАРА;1890141811М;;;;;;;;;;;;;
;;;МАЛОКАЛИБЕРНАЯ ВИНТОВКА, 100-300 М - ГРУППА;1890151811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ;1890161811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ - ПАРА;1890171811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА С РУЧНЫМ ПЕРЕЗАРЯЖАНИЕМ - ГРУППА;1890181811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ;1890191811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ - ПАРА;1890201811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - ВИНТОВКА ПОЛУАВТОМАТИЧЕСКАЯ - ГРУППА;1890211811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - КАРАБИН;1890221811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - КАРАБИН - ПАРА;1890231811М;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ - КАРАБИН - ГРУППА;1890241811М;;;;;;;;;;;;;
128;АВИАЦИОННЫЕ ГОНКИ;0590001411Л;ДВОЕБОРЬЕ;0590081811Л;;;;;;;;;;;;;
;;;КЛАСС - САМОЛЕТ РЕАКТИВНЫЙ - ВЫСШИЙ ПИЛОТАЖ - ИЗВЕСТНАЯ ПРОГРАММА - 2;0590071811Л;;;;;;;;;;;;;
;;;КЛАСС - САМОЛЕТ РЕАКТИВНЫЙ - ВЫСШИЙ ПИЛОТАЖ - ИЗВЕСТНАЯ ПРОГРАММА - 1;0590061811Л;;;;;;;;;;;;;
;;;КЛАСС - САМОЛЕТ РЕАКТИВНЫЙ - ВЫСШИЙ ПИЛОТАЖ;0590051811Л;;;;;;;;;;;;;
;;;КЛАСС - САМОЛЕТ РЕАКТИВНЫЙ;0590041811Л;;;;;;;;;;;;;
;;;КЛАСС - САМОЛЕТ ПОРШНЕВОЙ;0590031811Л;;;;;;;;;;;;;
;;;КЛАСС - ЛЕТАТЕЛЬНЫЙ АППАРАТ МАССОЙ ДО 115 КГ С РЕАКТИВНЫМ ДВИГАТЕЛЕМ;0590021811Л;;;;;;;;;;;;;
;;;КЛАСС - ЛЕТАТЕЛЬНЫЙ АППАРАТ МАССОЙ ДО 115 КГ С ПОРШНЕВЫМ ДВИГАТЕЛЕМ;0590011811Л;;;;;;;;;;;;;
129;ЛАПТА;0780002311Я;МИНИ-ЛАПТА;0780022811Я;;;;;;;;;;;;;
;;;ЛАПТА;0780012811Я;;;;;;;;;;;;;
130;ГРЕБНОЙ СПОРТ;0270001611Я;ПРИБРЕЖНАЯ ГРЕБЛЯ – ЧЕТВЕРКА РАСПАШНАЯ С РУЛЕВЫМ;0270211811Л;;;;;;;;;;;;;
;;;ПРИБРЕЖНАЯ ГРЕБЛЯ – ЧЕТВЕРКА ПАРНАЯ С РУЛЕВЫМ;0270201811Л;;;;;;;;;;;;;
;;;ПРИБРЕЖНАЯ ГРЕБЛЯ – ДВОЙКА ПАРНАЯ;0270191811Л;;;;;;;;;;;;;
;;;ПРИБРЕЖНАЯ ГРЕБЛЯ – ОДИНОЧКА;0270181811Л;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ДВОЙКА БЕЗ РУЛЕВОГО;0270051611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ДВОЙКА ПАРНАЯ - ЛЕГКИЙ ВЕС;0270041611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ДВОЙКА ПАРНАЯ;0270031611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ОДИНОЧКА - ЛЕГКИЙ ВЕС;0270021811Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ОДИНОЧКА;0270011611Я;;;;;;;;;;;;;
;;;НАРОДНАЯ ГРЕБЛЯ - ДВОЙКА ПАРНАЯ;0270161811Я;;;;;;;;;;;;;
;;;НАРОДНАЯ ГРЕБЛЯ - ОДИНОЧКА;0270151811Я;;;;;;;;;;;;;
;;;ГРЕБЛЯ - ИНДОР - ЛЕГКИЙ ВЕС;0270231811Я;;;;;;;;;;;;;
;;;ГРЕБЛЯ - ИНДОР;0270221811Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – КОМАНДНЫЕ СОРЕВНОВАНИЯ;0270171811Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ВОСЬМЕРКА С РУЛЕВЫМ;0270131611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ЧЕТВЕРКА БЕЗ РУЛЕВОГО - ЛЕГКИЙ ВЕС;0270121811А;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ЧЕТВЕРКА С РУЛЕВЫМ;0270111811Ф;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ЧЕТВЕРКА БЕЗ РУЛЕВОГО;0270101611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ЧЕТВЕРКА ПАРНАЯ - ЛЕГКИЙ ВЕС;0270091811Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ЧЕТВЕРКА ПАРНАЯ;0270081611Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ – ДВОЙКА БЕЗ РУЛЕВОГО - ЛЕГКИЙ ВЕС;0270061811Я;;;;;;;;;;;;;
131;ТЯЖЕЛАЯ АТЛЕТИКА;0480001611Я;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ - ДВОЕБОРЬЕ;0480101811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ - РЫВОК;0480111811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ - ТОЛЧОК;0480121811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 49 КГ - ДВОЕБОРЬЕ;0480131611С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 49 КГ - РЫВОК;0480141611С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 49 КГ - ТОЛЧОК;0480151611С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 89 КГ - ТОЛЧОК;0480541611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 96 КГ - ДВОЕБОРЬЕ;0480551811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 96 КГ - РЫВОК;0480561811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 96 КГ - ТОЛЧОК;0480571811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 29 КГ - ДВОЕБОРЬЕ;0480011811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 31 КГ - ДВОЕБОРЬЕ;0480021811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 33 КГ - ДВОЕБОРЬЕ;0480031811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 35 КГ - ДВОЕБОРЬЕ;0480041811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 37 КГ - ДВОЕБОРЬЕ;0480051811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ - ДВОЕБОРЬЕ;0480061811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ - РЫВОК;0480071811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ - ТОЛЧОК;0480081811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 41 КГ - ДВОЕБОРЬЕ;0480091811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ - РЫВОК;0480171811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ - ТОЛЧОК;0480181811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 59 КГ - ДВОЕБОРЬЕ;0480191611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 59 КГ - РЫВОК;0480201611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 59 КГ - ТОЛЧОК;0480211611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 61 КГ - ДВОЕБОРЬЕ;0480221611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 61 КГ - РЫВОК;0480231611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 61 КГ - ТОЛЧОК;0480241611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 64 КГ - ДВОЕБОРЬЕ;0480251811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 64 КГ - РЫВОК;0480261811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 64 КГ - ТОЛЧОК;0480271811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 67 КГ - ДВОЕБОРЬЕ;0480281811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 67 КГ - РЫВОК;0480291811А;;;;;;;;;;;;;
